query_id,answer
1,4308 4396 4234 4362 4328 1909 2943 1901 4394 4356
2,4361 4408 1923 4009 4403 4308 4234 4400 4407 2408
3,4396 4286 4408 4308 4234 4400 4153 4362 4045 2964
4,4532 2646 4400 4408 4234 4361 2831 4219 2865 4308
5,4321 4436 4050 3467 4308 4153 4320 4286 4361 4396
6,4309 4208 3750 2214 4254 4324 3016 3169 4312 1730
7,4219 4400 2865 2831 4234 1966 4361 2521 4403 4407
8,1951 4286 4436 4532 4234 4308 4320 3467 4328 4361
9,4214 4445 4451 2698 4290 4534 4447 4227 3478 3774
10,4403 4219 2831 4407 2408 2866 4508 2865 4408 3130
11,2865 4219 4308 2521 1966 2866 4408 4400 4361 2831
12,2865 4400 2831 4408 4361 2521 1958 4403 4387 2943
13,4219 2646 2865 4384 4257 4440 3567 4509 2866 4389
14,2962 4227 4371 4243 4365 4397 2663 2968 4363 2217
15,4384 3470 4361 2037 4406 4313 3169 2646 4419 2943
16,4440 4389 4394 4257 2521 4408 4361 4285 4387 2943
17,4361 4286 4219 4396 3168 1901 4308 4406 2943 2866
18,4219 4308 2646 4234 1909 4387 4361 4331 4400 4403
19,4321 4436 4308 2646 4320 4286 4361 4234 1951 4219
20,4308 4400 2865 2831 4361 4219 2521 2944 1966 4403
21,4214 2646 2698 4361 4153 4308 2665 4532 4451 4396
22,4243 2148 3909 4410 4134 4296 2695 4354 4242 2968
23,4286 4328 1907 4234 4396 4431 4436 4308 4383 4438
24,4440 4389 2521 4257 4408 2866 4361 4394 2944 4387
25,4290 2665 4308 4451 4227 2213 3774 2698 4408 4518
26,4257 4389 2521 4361 2865 4440 4394 4406 3168 1966
27,2865 4219 1966 4440 4387 2866 4389 4509 4408 3567
28,2962 4403 2408 4407 4234 4400 3209 3006 2831 1909
29,2865 3844 1966 4406 4361 4219 4400 2831 2696 2521
30,4436 2646 4321 4331 4308 4234 4361 1951 4320 4396
31,4308 4408 1909 4234 4361 2962 4400 1907 2408 4403
32,4397 2962 3056 4384 4219 4389 3565 4440 4394 4206
33,2521 2865 2866 4440 4400 4219 4361 4408 4308 4389
34,2865 3844 4361 2521 1966 4389 2944 4407 3168 4403
35,1907 1909 4396 4328 4286 4234 4436 4308 4431 1901
36,4257 2865 4387 4234 4504 4285 1966 4408 4219 4400
37,4219 4408 4400 4387 1966 4403 4361 2865 2408 2831
38,3470 4440 4219 1966 4384 4313 2696 3078 4389 4361
39,3467 1951 4045 4234 4050 4532 4436 4153 4006 4219
40,2646 4219 4331 4384 4361 4234 4233 4308 4516 4440
41,4362 4204 4361 4234 2154 2646 4219 4227 4331 4290
42,2646 4387 4308 1966 4219 4504 1958 4532 4234 4331
43,4308 4362 4234 4396 1901 1899 4286 4328 4403 1909
44,2865 3844 4406 4400 4219 1966 4302 4384 2696 4509
45,2865 4406 4219 4408 2646 4361 4400 4234 1966 3844
46,4214 2665 2698 4361 4308 2646 4331 4408 4286 2511
47,4406 2646 3169 4234 4219 4361 3470 4331 2943 3078
48,2865 1966 4219 4384 4440 4387 2866 4257 4389 4509
49,1960 4219 4308 4234 4400 4403 2831 1909 4396 4358
50,4328 3467 4436 4234 1951 4214 4045 4006 4050 4286
51,4395 4219 2646 4214 4389 4387 4440 2408 3026 2944
52,4395 4214 4219 4424 2646 4209 2698 4361 4308 4384
53,2511 4361 4234 4257 4408 2943 3055 3689 4389 2521
54,4424 4395 4329 3992 4334 4290 4361 4204 2295 4331
55,4286 4532 4320 3467 4234 4361 4153 4050 4396 4219
56,4234 2408 4403 4361 4045 4308 4387 4400 3209 4407
57,2890 2904 3054 3688 2908 2920 2324 3746 4423 4404
58,2646 4219 4384 4440 4361 4308 4303 4257 2962 3127
59,2865 2521 4219 4408 4361 4406 2646 1966 4400 2831
60,4400 4408 2865 4308 2521 4403 2831 4407 4387 4219
61,4308 4219 2646 4361 4389 4440 4384 2943 4331 4234
62,2865 4400 4408 1966 2831 2408 4361 4234 2521 4509
63,2831 4400 4403 4234 4387 4408 4367 4407 2238 3088
64,4308 1909 1907 4408 4328 2831 4396 4334 4331 4446
65,4008 2217 4375 4371 2663 2968 2942 4307 4266 2794
66,3779 4307 4269 4436 4266 3481 3482 4371 4134 3929
67,4313 3470 4219 3078 4440 4326 4261 4389 4233 2943
68,2968 2663 4008 2207 2217 2661 4375 4266 3595 2221
69,2865 2646 1966 4361 2831 4219 4400 4408 4384 4308
70,4328 4286 4396 4362 3467 4436 4308 1907 4234 4045
71,4308 2646 4234 4362 4153 4219 4361 4214 4436 4205
72,4362 3467 4234 2698 4050 4153 4361 4286 4308 1909
73,2220 4440 2663 2968 4269 4436 4389 2942 3128 2894
74,2865 4400 1966 4408 2831 4219 4361 3844 2696 4403
75,4331 2646 4436 4234 4361 4219 4406 4010 4322 4384
76,1901 4308 4362 4435 4234 4396 4328 4356 1907 4286
77,1909 4328 4396 4400 4408 4362 2511 4387 4153 2408
78,4362 4433 4436 4308 4234 4050 3265 4204 4153 4396
79,2865 4406 4361 4219 2646 2521 1966 3844 4400 2831
80,2232 4436 4321 4367 4319 4320 2902 4437 2075 4308
